,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Barrow,US,1612024081,71.2906,-156.7887,-5.8,77,90,11.5
1,Airai,TL,1612024224,-8.9266,125.4092,61.68,100,100,5.01
2,Ushuaia,AR,1612024075,-54.8,-68.3,51.8,62,20,27.63
3,Ostrovnoy,RU,1612024112,68.0531,39.5131,11.14,94,100,11.59
4,Araouane,ML,1612024442,18.9048,-3.5265,83.3,13,26,7.07
5,Punta Arenas,CL,1612024077,-53.15,-70.9167,55.4,50,75,25.32
6,Guilin,CN,1612024443,25.2819,110.2864,53.6,76,40,2.13
7,Ribeira Grande,PT,1612024443,38.5167,-28.7,64.4,88,75,19.57
8,Rikitea,PF,1612024443,-23.1203,-134.9692,79.07,74,74,10.8
9,Vaini,TO,1612024070,-21.2,-175.2,73.4,94,90,4.61
10,Hobart,AU,1612024404,-42.8794,147.3294,54.0,87,1,4.61
11,New Norfolk,AU,1612024444,-42.7826,147.0587,54.0,82,7,2.53
12,Muzhi,RU,1612024227,65.3667,64.6667,-19.43,87,100,4.97
13,Hamilton,US,1612024130,39.1834,-84.5333,32.0,51,1,8.05
14,Nortelândia,BR,1612024228,-14.4547,-56.8028,86.16,66,46,5.95
15,Hermanus,ZA,1612023817,-34.4187,19.2345,73.0,74,0,8.01
16,Ponta do Sol,PT,1612024104,32.6667,-17.1,64.0,71,42,4.0
17,Busselton,AU,1612024080,-33.65,115.3333,70.0,60,0,1.01
18,Chokurdakh,RU,1612024086,70.6333,147.9167,-29.16,85,4,6.49
19,Arraial do Cabo,BR,1612024128,-22.9661,-42.0278,93.2,43,0,23.02
20,Broome,US,1612023969,42.2506,-75.833,15.01,73,90,9.22
21,Yevlax,AZ,1612024230,40.6089,47.1492,41.0,100,90,4.61
22,Vao,NC,1612024107,-22.6667,167.4833,76.12,77,53,16.84
23,Puerto Escondido,MX,1612024187,15.85,-97.0667,84.2,84,1,4.61
24,Albany,US,1612024082,42.6001,-73.9662,15.01,53,0,3.0
25,Ibaiti,BR,1612024193,-23.8486,-50.1878,75.63,87,78,4.9
26,Puerto Carreño,CO,1612024447,6.189,-67.4859,93.0,40,0,11.36
27,Provideniya,RU,1612024086,64.3833,-173.3,-11.13,83,60,6.42
28,Hanmer Springs,NZ,1612024231,-42.5167,172.8167,48.07,81,0,3.78
29,Qaanaaq,GL,1612024089,77.484,-69.3632,-6.16,71,99,1.59
30,Port Elizabeth,ZA,1612023979,-33.918,25.5701,71.6,73,0,12.66
31,Hasaki,JP,1612024094,35.7333,140.8333,26.6,80,20,1.14
32,Kunashak,RU,1612024232,55.7032,61.5498,8.6,92,40,4.47
33,Ancud,CL,1612024233,-41.8697,-73.8203,64.4,52,0,6.91
34,Saskylakh,RU,1612024076,71.9167,114.0833,-39.26,77,19,7.85
35,Tiksi,RU,1612024129,71.6872,128.8694,-26.3,86,100,5.32
36,Novobirilyussy,RU,1612024233,56.9514,90.6661,-30.35,84,0,0.36
37,Tautira,PF,1612024141,-17.7333,-149.15,77.0,73,75,3.44
38,Tari,NG,1612024234,12.4086,4.4914,90.01,12,15,8.01
39,Nanortalik,GL,1612024025,60.1432,-45.2371,36.07,78,100,16.11
40,São Filipe,CV,1612023948,14.8961,-24.4956,77.58,52,100,11.72
41,Bredasdorp,ZA,1612024073,-34.5322,20.0403,73.0,74,0,8.01
42,Husavik,IS,1612024233,66.0449,-17.3389,21.2,68,75,9.22
43,Upernavik,GL,1612024079,72.7868,-56.1549,-9.74,86,2,8.03
44,Souillac,MU,1612024084,-20.5167,57.5167,78.8,83,75,6.91
45,Hithadhoo,MV,1612024140,-0.6,73.0833,82.81,75,91,13.44
46,Rocha,UY,1612023957,-34.4833,-54.3333,88.3,31,74,14.29
47,Nouadhibou,MR,1612024236,20.931,-17.0347,87.8,16,68,13.8
48,Kavaratti,IN,1612023936,10.5669,72.642,81.54,70,64,7.87
49,Doha,QA,1612024220,25.2867,51.5333,69.8,73,40,12.66
50,Skibbereen,IE,1612024236,51.55,-9.2667,42.8,87,75,9.22
51,George Town,MY,1612024092,5.4112,100.3354,82.99,83,20,3.44
52,Pecos,US,1612024237,31.4229,-103.4932,59.0,29,1,26.46
53,Torbay,CA,1612024076,47.6666,-52.7314,30.99,86,90,18.41
54,Kahului,US,1612024224,20.8947,-156.47,66.99,94,40,13.8
55,Tasiilaq,GL,1612024100,65.6145,-37.6368,17.6,35,75,16.11
56,Mataura,NZ,1612024238,-46.1927,168.8643,48.0,80,50,8.01
57,Tuktoyaktuk,CA,1612024086,69.4541,-133.0374,-36.4,67,20,1.88
58,Ahipara,NZ,1612024077,-35.1667,173.1667,55.42,78,0,4.81
59,Luanda,AO,1612024239,-8.8368,13.2343,87.8,55,20,11.5
60,Padang,ID,1612024080,-0.9492,100.3543,78.12,72,100,5.06
61,Hofn,IS,1612024239,64.2539,-15.2082,23.27,87,95,21.21
62,Mossamedes,AO,1612024454,-15.1961,12.1522,82.4,57,40,11.5
63,Thompson,CA,1612024079,55.7435,-97.8558,10.4,92,90,2.3
64,Dikson,RU,1612024094,73.5069,80.5464,-35.41,83,37,10.11
65,Castro,BR,1612024097,-24.7911,-50.0119,68.36,93,99,3.18
66,Bluff,NZ,1612023891,-46.6,168.3333,48.0,80,53,8.01
67,San Cristobal,VE,1612024455,7.7669,-72.225,82.4,57,40,10.36
68,Pontes e Lacerda,BR,1612024455,-15.2261,-59.3353,88.3,57,25,6.69
69,Solok,ID,1612024241,-0.7918,100.6593,71.08,84,100,2.13
70,Carnarvon,AU,1612024124,-24.8667,113.6333,84.2,58,33,6.91
71,Ixtapa,MX,1612024241,20.7,-105.2,71.6,73,1,3.44
72,Faanui,PF,1612023907,-16.4833,-151.75,80.13,70,63,2.28
73,Puerto Ayora,EC,1612024227,-0.7393,-90.3518,81.0,69,0,13.8
74,Biscarrosse,FR,1612024242,44.3945,-1.1672,53.6,71,75,17.27
75,Inyonga,TZ,1612024242,-6.7167,32.0667,68.95,82,40,1.48
76,Waynesboro,US,1612024242,38.0685,-78.8895,35.01,46,1,1.72
77,Torit,SS,1612024242,4.4133,32.5678,90.97,23,86,5.01
78,Bandarbeyla,SO,1612024142,9.4942,50.8122,75.06,69,0,14.47
79,Avera,US,1612024229,33.194,-82.5271,46.4,42,75,8.05
80,Launceston,AU,1612024098,-41.45,147.1667,57.99,67,90,10.36
81,Kapaa,US,1612024080,22.0752,-159.319,71.6,88,40,14.97
82,Hilo,US,1612023857,19.7297,-155.09,66.2,88,90,3.44
83,Labuan,MY,1612024244,5.2767,115.2417,80.6,83,40,11.5
84,Bethel,US,1612023886,41.3712,-73.414,19.0,49,1,8.05
85,Jamestown,US,1612023881,42.097,-79.2353,25.0,79,90,3.44
86,Cape Town,ZA,1612024076,-33.9258,18.4232,79.0,47,20,11.5
87,Zhangjiakou,CN,1612024245,40.81,114.8794,23.47,82,0,0.89
88,Cidreira,BR,1612024206,-30.1811,-50.2056,85.26,67,35,8.57
89,Nemuro,JP,1612024245,43.3236,145.575,22.05,92,100,15.75
90,Eureka,US,1612023950,40.8021,-124.1637,48.99,71,90,10.36
91,Tuatapere,NZ,1612024079,-46.1333,167.6833,48.0,80,71,8.01
92,Mahébourg,MU,1612024084,-20.4081,57.7,78.8,83,75,6.91
93,Saldanha,ZA,1612024246,-33.0117,17.9442,67.3,81,0,13.49
94,Boa Vista,BR,1612024247,2.8197,-60.6733,89.6,48,75,17.27
95,Cam Ranh,VN,1612024247,11.9214,109.1591,75.2,69,20,9.22
96,Avarua,CK,1612024116,-21.2078,-159.775,75.2,94,98,2.3
97,Katsuura,JP,1612023888,35.1333,140.3,39.2,52,20,4.61
98,Zhangye,CN,1612024127,38.9342,100.4517,21.61,73,0,5.84
99,Ocós,GT,1612024248,14.5094,-92.1933,84.2,65,1,7.2
100,Barra Patuca,HN,1612024248,15.8,-84.2833,80.64,69,51,10.94
101,Bat Khela,PK,1612024248,34.6167,71.9714,48.9,42,0,4.59
102,Benjamin Constant,BR,1612024090,-4.3831,-70.0311,86.0,79,75,6.91
103,Adrar,MR,1612024249,20.5022,-10.0711,84.4,13,31,11.59
104,Abu Kamal,SY,1612024249,34.4506,40.9171,53.38,45,48,8.12
105,Alexandria,EG,1612024242,31.2156,29.9553,66.2,52,0,17.27
106,Coyhaique,CL,1612024201,-45.5752,-72.0662,64.4,45,0,9.22
107,Gwanda,ZW,1612024249,-20.9333,29.0,76.48,72,95,7.09
108,Wote,KE,1612024250,-1.7808,37.6288,66.56,88,100,4.16
109,Aberdeen,GB,1612024250,57.1437,-2.0981,35.6,87,20,5.75
110,Yellowknife,CA,1612024074,62.456,-114.3525,-18.0,76,40,5.75
111,Nikolskoye,RU,1612024078,59.7035,30.7861,28.4,93,75,11.18
112,Loandjili,CG,1612024250,-4.7561,11.8578,86.0,74,20,8.05
113,Hong Kong,HK,1612023915,22.2855,114.1577,64.0,75,0,17.13
114,Mulegé,MX,1612024251,26.8833,-111.9833,62.56,61,2,8.97
115,Butaritari,KI,1612024087,3.0707,172.7902,80.62,77,93,17.34
116,El Real de Santa Maria,PA,1612024251,8.109,-77.7325,87.49,54,94,5.99
117,Gigmoto,PH,1612024252,13.7796,124.39,75.6,81,98,15.75
118,Hyères,FR,1612024252,43.1167,6.1167,53.6,87,90,10.36
119,Tomatlán,MX,1612024252,19.9333,-105.25,91.58,25,0,4.27
120,Sault Ste. Marie,CA,1612023824,46.5168,-84.3333,17.6,73,1,4.61
121,Cherskiy,RU,1612024104,68.75,161.3,-36.31,83,6,1.83
122,Havre-St-Pierre,CA,1612024253,50.2334,-63.5986,17.6,57,20,10.36
123,Andros,GR,1612024253,37.8333,24.9333,57.99,65,20,21.97
124,Haines Junction,CA,1612024125,60.7522,-137.5108,-14.8,84,100,1.12
125,Laas,IT,1612023949,46.6166,10.7002,42.01,75,0,3.44
126,Sompeta,IN,1612024254,18.9333,84.6,73.0,71,0,1.32
127,Verkhoyansk,RU,1612024140,67.5447,133.385,-43.76,75,87,0.63
128,Lorengau,PG,1612024255,-2.0226,147.2712,81.9,81,100,12.68
129,Carauari,BR,1612024255,-4.8828,-66.8958,91.35,55,20,4.14
130,Atikokan,CA,1612024082,48.7555,-91.6216,22.59,95,100,11.79
131,Chapais,CA,1612024047,49.7834,-74.8492,-4.0,71,90,8.05
132,Pevek,RU,1612024125,69.7008,170.3133,-32.6,85,48,3.06
133,Lebu,CL,1612024083,-37.6167,-73.65,62.04,71,4,8.84
134,Egvekinot,RU,1612024468,66.3167,-179.1667,-25.55,83,0,9.62
135,Necochea,AR,1612024256,-38.5473,-58.7368,69.01,46,100,15.14
136,Codrington,AU,1612024193,-38.2667,141.9667,54.68,83,9,4.52
137,Brae,GB,1612024257,60.3964,-1.353,35.6,87,75,8.05
138,Bambous Virieux,MU,1612024221,-20.3428,57.7575,80.01,83,75,6.91
139,San Quintín,MX,1612024031,30.4833,-115.95,55.94,60,3,4.09
140,Napāsar,IN,1612024257,27.9667,73.55,55.33,32,0,3.76
141,Pisco,PE,1612024093,-13.7,-76.2167,75.2,73,0,9.22
142,Chara,RU,1612024469,56.9064,118.2631,-31.81,76,89,0.74
143,North Bend,US,1612024388,43.4065,-124.2243,46.0,98,100,8.77
144,Zhigansk,RU,1612024139,66.7697,123.3711,-46.8,75,97,5.1
145,Tura,IN,1612024258,25.5198,90.2201,53.01,40,0,1.52
146,Port Alfred,ZA,1612024091,-33.5906,26.891,73.0,82,0,1.99
147,Ţahţā,EG,1612024259,26.7693,31.5021,66.2,26,0,5.75
148,Yangi Marg`ilon,UZ,1612023980,40.4272,71.7189,42.8,26,98,4.61
149,Kyzyl-Suu,KG,1612024259,42.3414,78.0056,22.57,69,0,11.41
150,Moree,AU,1612024213,-29.4667,149.85,75.2,53,1,10.36
151,Grindavik,IS,1612023890,63.8424,-22.4338,28.4,74,75,19.57
152,Iqaluit,CA,1612024113,63.7506,-68.5145,-9.0,64,20,19.57
153,Beringovskiy,RU,1612024137,63.05,179.3167,-14.46,89,100,13.8
154,Bilibino,RU,1612024248,68.0546,166.4372,-26.7,80,2,5.3
155,Gazimurskiy Zavod,RU,1612024260,51.5461,118.3266,-20.76,85,100,2.93
156,Fallon,US,1612024260,39.4735,-118.7774,28.4,93,90,5.99
157,Chui,UY,1612024139,-33.6971,-53.4616,84.51,51,0,10.38
158,Leningradskiy,RU,1612023893,69.3833,178.4167,-26.59,84,83,2.04
159,Florence,IT,1612024080,43.7667,11.25,55.0,87,75,2.3
160,Provincia di Ancona,IT,1612024261,43.55,13.1667,59.0,47,75,13.8
161,Taihecun,CN,1612024261,45.8,130.85,-19.46,84,86,2.86
162,Los Llanos de Aridane,ES,1612024473,28.6585,-17.9182,66.2,72,75,13.8
163,Moose Factory,CA,1612024262,51.2585,-80.6094,-0.4,84,90,2.06
164,Ola,RU,1612024262,59.5833,151.2833,-18.67,80,46,14.63
165,Saurimo,AO,1612024132,-9.6608,20.3916,76.96,81,87,2.93
166,Peniche,PT,1612024126,39.3558,-9.3811,59.0,70,77,15.01
167,Petauke,ZM,1612024263,-14.2426,31.3253,70.36,94,96,3.2
168,Bonavista,CA,1612024263,48.6499,-53.1147,30.0,86,97,6.91
169,Shetpe,KZ,1612024263,44.1667,52.1167,34.92,86,100,8.79
170,Fortuna,US,1612024109,40.5982,-124.1573,48.99,76,75,27.63
171,Coahuayana Viejo,MX,1612024293,18.7333,-103.6833,78.8,50,1,3.94
172,Saint Paul Harbor,US,1612024105,57.79,-152.4072,32.0,55,1,20.71
173,Huarmey,PE,1612023967,-10.0681,-78.1522,76.12,61,90,10.69
174,Kaduqli,SD,1612024264,11.0167,29.7167,78.98,16,40,9.17
175,Muros,ES,1612024115,42.7762,-9.0603,55.99,71,100,5.99
176,Blagoyevo,RU,1612024265,63.3667,47.9167,23.04,97,100,6.46
177,Priladozhskiy,RU,1612024265,59.85,31.4833,25.0,67,95,5.48
178,Antalaha,MG,1612024265,-14.9003,50.2788,79.05,79,42,1.92
179,La Ronge,CA,1612023983,55.1001,-105.2842,8.6,85,90,2.3
180,Mitú,CO,1612024012,1.1983,-70.1733,81.82,86,81,3.11
181,Kattivākkam,IN,1612024266,13.2167,80.3167,77.0,78,20,4.61
182,Bay-Khaak,RU,1612024266,51.1667,94.5,3.02,85,58,2.62
183,Byron Bay,AU,1612024477,-28.65,153.6167,73.4,88,31,2.82
184,Purranque,CL,1612024266,-40.9167,-73.1667,66.2,34,0,8.05
185,Morant Bay,JM,1612024267,17.8815,-76.4093,87.8,51,20,9.22
186,Warmbad,NA,1612024126,-28.45,18.7333,94.39,8,0,15.37
187,Berlevåg,NO,1612024144,70.8578,29.0864,25.95,96,100,23.47
188,Nioro,GM,1612024118,13.35,-15.75,101.37,7,21,8.01
189,Caravelas,BR,1612023900,-17.7125,-39.2481,85.12,56,6,9.93
190,Adré,TD,1612024268,13.4667,22.2,75.02,19,0,9.35
191,Santa Maria,BR,1612024047,-29.6842,-53.8069,86.0,66,75,5.75
192,Kruisfontein,ZA,1612024080,-34.0033,24.7314,73.99,65,0,7.0
193,Lagoa,PT,1612024105,39.05,-27.9833,62.42,89,6,26.24
194,Rexburg,US,1612024121,43.826,-111.7897,28.99,93,90,10.36
195,Akçaabat,TR,1612024269,41.0212,39.5715,48.2,76,0,11.5
196,Labuhan,ID,1612024269,-6.8844,112.2051,77.49,85,100,6.82
197,Kawanoechō,JP,1612024270,34.0167,133.5667,45.0,73,75,14.2
198,Portland,US,1612023979,45.5234,-122.6762,44.01,81,90,16.11
199,Cabo San Lucas,MX,1612023847,22.8909,-109.9124,70.0,68,1,1.83
200,Nordby,DK,1612024271,55.446,8.3979,34.0,86,20,8.05
201,Pangnirtung,CA,1612024112,66.1451,-65.7125,-9.4,77,1,2.26
202,Synya,RU,1612024271,65.3718,58.0387,-3.64,90,100,7.31
203,Rawson,AR,1612024271,-43.3002,-65.1023,66.22,40,0,15.64
204,La Brea,HN,1612024271,15.8,-85.9667,80.6,74,20,4.61
205,Santa Cruz,MA,1612024184,30.4202,-9.5982,68.0,60,0,9.22
206,Novo Cruzeiro,BR,1612024272,-17.4681,-41.8753,83.01,44,0,6.91
207,Antsohihy,MG,1612024272,-14.8796,47.9875,76.75,90,36,3.85
208,Kingston,JM,1612024000,17.997,-76.7936,87.8,51,20,9.22
209,Poum,NC,1612024272,-20.2333,164.0167,78.08,77,65,15.99
210,Makakilo City,US,1612024108,21.3469,-158.0858,71.6,83,75,4.61
211,Itupiranga,BR,1612024483,-5.1347,-49.3267,89.6,66,40,4.61
212,Macamic,CA,1612024273,48.7502,-78.9996,-2.2,84,75,3.44
213,Constitución,CL,1612024107,-35.3333,-72.4167,61.41,93,98,3.24
214,Bubaque,GW,1612024084,11.2833,-15.8333,81.25,48,0,9.51
215,Caniço,PT,1612024273,32.6333,-16.85,66.2,77,75,5.75
216,Port Hardy,CA,1612024107,50.6996,-127.4199,41.0,100,75,4.61
217,Namtsy,RU,1612024274,62.7161,129.6658,-50.8,58,76,2.24
218,Mubende,UG,1612024274,0.5606,31.39,73.99,52,97,3.22
219,Bloomsburg,US,1612024274,41.0037,-76.4549,26.01,53,0,1.01
220,Atuona,PF,1612024090,-9.8,-139.0333,78.49,76,41,16.58
221,Lavrentiya,RU,1612024125,65.5833,-171.0,-18.85,83,0,7.52
222,Samarai,PG,1612024147,-10.6167,150.6667,82.85,75,100,15.21
223,Humboldt,US,1612024275,40.6665,-123.9178,48.99,76,75,27.63
224,New Philadelphia,US,1612024155,40.4898,-81.4457,25.0,79,1,4.61
225,Bogale,MM,1612024275,16.2833,95.4,73.54,66,14,5.91
226,Paamiut,GL,1612024486,61.994,-49.6678,31.15,87,92,8.19
227,Road Town,VG,1612024276,18.4167,-64.6167,77.0,88,40,3.44
228,Kiunga,PG,1612024276,-6.1219,141.2906,72.63,98,100,1.77
229,City of San Pedro,PH,1612024276,14.35,121.0167,75.2,64,20,5.75
230,Henties Bay,NA,1612024277,-22.116,14.2845,70.0,81,33,1.99
231,Geraldton,AU,1612024233,-28.7667,114.6,71.6,83,0,6.91
232,Lumeje,AO,1612024277,-11.55,20.7833,74.16,74,80,5.08
233,São João da Barra,BR,1612024277,-21.6403,-41.0511,89.6,40,0,16.11
234,Rio Grande,BR,1612024277,-32.035,-52.0986,87.8,70,75,12.66
235,Kaitangata,NZ,1612023942,-46.2817,169.8464,48.99,90,12,1.99
236,Sorong,ID,1612024278,-0.8833,131.25,80.11,78,100,2.71
237,Kopayhorod,UA,1612024278,48.8592,27.7969,28.0,88,57,7.87
238,Rockland,US,1612024278,41.1668,-74.0496,24.01,49,0,1.99
239,Harlingen,US,1612024258,26.1906,-97.6961,78.8,65,75,28.77
240,Juneau,US,1612024279,58.3019,-134.4197,30.0,86,75,3.44
241,Isangel,VU,1612024146,-19.55,169.2667,73.4,94,75,10.07
242,Brejo,BR,1612024279,-3.6844,-42.7503,90.14,53,98,5.46
243,Lenina,RU,1612024279,46.0667,39.7833,40.17,71,64,8.14
244,Norman Wells,CA,1612023894,65.282,-126.8329,-27.4,75,75,1.07
245,Mount Gambier,AU,1612024239,-37.8333,140.7667,55.4,88,5,6.91
246,Salalah,OM,1612024082,17.0151,54.0924,73.4,56,20,3.44
247,Rurrenabaque,BO,1612024280,-14.4413,-67.5278,81.3,85,96,6.02
248,Khatanga,RU,1612024063,71.9667,102.5,-45.15,77,3,1.3
249,Zyryanka,RU,1612024281,65.75,150.85,-31.85,83,100,10.85
250,Port-Gentil,GA,1612024103,-0.7193,8.7815,86.0,74,40,10.36
251,Esim,GH,1612024281,4.8699,-2.2405,82.9,74,40,8.3
252,Touros,BR,1612024201,-5.1989,-35.4608,86.0,58,40,19.57
253,Vardø,NO,1612024145,70.3705,31.1107,28.4,93,75,25.32
254,Hirara,JP,1612024282,24.8,125.2833,65.37,59,75,15.99
255,Luwero,UG,1612024282,0.8492,32.4731,74.55,54,88,4.12
256,Mattoon,US,1612024170,39.4831,-88.3728,35.01,64,90,14.97
257,Kodino,RU,1612024282,63.7198,39.6447,13.33,96,92,4.99
258,Ust-Tsilma,RU,1612024248,65.441,52.1498,3.67,92,100,9.44
259,Quibdó,CO,1612024203,5.6947,-76.6611,90.77,58,86,1.74
260,Sturgis,US,1612024283,41.7992,-85.4192,28.4,59,90,14.97
261,Esperance,AU,1612023926,-33.8667,121.9,60.8,77,0,10.36
