,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
262,Santiago del Estero,AR,1612024283,-27.7951,-64.2615,96.84,39,7,9.86
263,Te Anau,NZ,1612024284,-45.4167,167.7167,43.03,86,54,1.59
264,Saint-Philippe,RE,1612024132,-21.3585,55.7679,82.4,74,0,11.5
265,Furtwangen im Schwarzwald,DE,1612024284,48.05,8.2,46.99,94,100,1.99
266,Bandhi,PK,1612024284,26.5861,68.3006,62.6,51,0,6.91
267,Aliquippa,US,1612024285,40.6367,-80.2401,27.0,58,75,4.61
268,Paita,PE,1612024285,-5.0892,-81.1144,87.8,48,0,13.8
269,Flinders,AU,1612024285,-34.5833,150.8552,73.0,88,51,5.99
270,Goderich,CA,1612024247,43.7501,-81.7165,26.6,68,100,8.05
271,Arrondissement de Thonon-les-Bains,FR,1612024286,46.25,6.5,43.0,96,100,4.88
272,Shimoda,JP,1612024282,34.6667,138.95,35.01,76,0,1.01
273,Genhe,CN,1612024286,50.7833,121.5167,-24.21,84,99,0.94
274,Saint-Augustin,CA,1612024074,51.226,-58.6502,27.5,93,27,15.28
275,Kavieng,PG,1612024104,-2.5744,150.7967,82.2,78,28,14.03
276,Beyneu,KZ,1612024286,45.3167,55.2,33.39,93,66,4.52
277,Muravlenko,RU,1612024287,63.7898,74.523,-22.97,85,100,16.06
278,Jönköping,SE,1612024287,57.7814,14.1562,21.2,100,43,2.3
279,Bengkulu,ID,1612024107,-3.8004,102.2655,76.14,88,100,7.27
280,Novki,RU,1612024287,56.3608,41.0775,21.49,96,100,12.03
281,Roald,NO,1612024077,62.5833,6.1333,35.6,69,40,9.22
282,Wenling,CN,1612024288,28.3669,121.36,48.74,79,44,3.38
283,Whitehorse,CA,1612024288,60.7161,-135.0538,-9.99,84,40,0.6
284,Jitaúna,BR,1612024288,-14.0189,-39.8889,90.5,39,59,5.73
285,East London,ZA,1612024074,-33.0153,27.9116,73.4,83,75,10.36
286,Yārāda,IN,1612024289,17.65,83.2667,73.4,94,40,2.3
287,Dvinskoy,RU,1612024289,62.1535,45.1175,22.15,97,100,7.2
288,Vadsø,NO,1612024289,70.0744,29.7487,28.4,86,90,14.97
289,Ozernovskiy,RU,1612024289,51.5,156.5167,13.15,95,100,12.8
290,Namatanai,PG,1612024260,-3.6667,152.4333,80.65,80,93,12.17
291,Lethem,GY,1612024290,3.3803,-59.7968,91.45,46,60,11.5
292,Yancheng,CN,1612024290,33.3856,120.1253,44.4,61,98,5.35
293,Plettenberg Bay,ZA,1612024290,-34.0527,23.3716,70.05,68,3,4.41
294,São José da Coroa Grande,BR,1612024290,-8.8978,-35.1478,83.46,66,93,10.65
295,Srednekolymsk,RU,1612024075,67.45,153.6833,-40.4,81,58,3.0
296,Fort Nelson,CA,1612024137,58.8053,-122.7002,-25.6,75,40,0.78
297,Talnakh,RU,1612024270,69.4865,88.3972,-30.91,71,0,5.64
298,Killybegs,IE,1612024291,54.6333,-8.45,41.0,75,75,16.11
299,Tilichiki,RU,1612024233,60.4667,166.1,-10.55,92,100,20.09
300,Tungor,RU,1612024246,53.3808,142.9564,-8.63,90,77,14.16
301,Harper,LR,1612024081,4.375,-7.7169,83.05,74,53,10.11
302,Ukiah,US,1612024292,39.1502,-123.2078,44.6,87,90,4.83
303,Narsaq,GL,1612023906,60.9167,-46.05,41.0,28,90,35.68
304,Manuk Mangkaw,PH,1612024292,4.8,119.85,80.69,79,100,13.15
305,Olinda,BR,1612024292,-8.0089,-34.8553,82.4,65,40,11.5
306,College,US,1612024211,64.8569,-147.8028,-7.6,71,90,1.21
307,Marrakesh,MA,1612024229,31.6315,-8.0083,73.4,38,17,9.22
308,Korla,CN,1612024195,41.7597,86.1469,25.81,79,0,6.08
309,Temple,US,1612024199,31.0982,-97.3428,66.0,88,100,16.11
310,Mporokoso,ZM,1612024294,-9.3727,30.125,65.55,91,97,1.16
311,Santarém,BR,1612024294,-2.4431,-54.7083,80.6,89,90,6.91
312,Santa Barbara,US,1612024294,34.7333,-120.0343,45.0,93,1,2.15
313,Bulgan,MN,1612024238,48.8125,103.5347,9.48,80,24,10.31
314,Coronel Vivida,BR,1612024295,-25.9797,-52.5678,71.78,94,99,6.53
315,Kang,BW,1612024506,-23.6752,22.7876,79.38,56,55,3.87
316,San Patricio,US,1612024112,28.017,-97.5169,73.99,73,75,28.77
317,Petropavl,KZ,1612024044,54.8753,69.1628,19.72,94,100,10.29
318,Pangkalanbuun,ID,1612024086,-2.6833,111.6167,75.47,92,100,0.87
319,Enshi,CN,1612024072,30.3,109.4833,47.25,74,94,0.58
320,Jurm,AF,1612024296,36.8648,70.8342,36.12,61,99,6.4
321,Antofagasta,CL,1612024141,-23.65,-70.4,73.99,60,20,11.5
322,Maningrida,AU,1612024117,-12.0667,134.2667,77.94,88,100,7.72
323,Orzu,TJ,1612024297,37.5593,68.8184,53.6,32,75,4.47
324,Shenjiamen,CN,1612024094,29.9576,122.298,50.67,79,56,14.9
325,Lokosovo,RU,1612024297,61.1333,74.8167,-19.37,86,100,13.47
326,Porto-Novo,BJ,1612024098,6.4965,2.6036,89.6,70,20,11.5
327,Alenquer,BR,1612024297,-1.9417,-54.7383,80.6,89,90,6.91
328,Clyde River,CA,1612024089,70.4692,-68.5914,-20.2,76,1,5.86
329,Birao,CF,1612024298,10.2849,22.7882,81.9,15,0,7.25
330,Wahiawā,US,1612024298,21.5028,-158.0236,71.01,100,75,3.44
331,Naze,JP,1612024271,28.3667,129.4833,51.26,67,0,8.75
332,Dali,CN,1612024153,25.7,100.1833,44.69,74,1,5.41
333,Wajima,JP,1612024234,37.4,136.9,40.55,76,96,16.62
334,Praia da Vitória,PT,1612024255,38.7333,-27.0667,68.0,77,75,26.89
335,Bonthe,SL,1612024299,7.5264,-12.505,84.88,64,23,12.28
336,Mehamn,NO,1612024115,71.0357,27.8492,26.11,96,100,21.47
337,Eskil,TR,1612024224,38.4017,33.4131,41.97,84,100,25.64
338,Ilulissat,GL,1612024138,69.2167,-51.1,1.4,60,40,5.75
339,Sitka,US,1612023894,57.0531,-135.33,37.4,60,75,9.22
340,Fort-Shevchenko,KZ,1612024510,44.5086,50.263,36.68,81,100,13.38
341,Rock Sound,BS,1612024300,24.9,-76.2,68.09,63,87,15.05
342,Alofi,NU,1612024138,-19.0595,-169.9187,75.2,100,100,6.91
343,Olavarría,AR,1612024268,-36.8927,-60.3225,66.99,50,100,5.01
344,Mar del Plata,AR,1612024010,-38.0023,-57.5575,64.4,59,90,17.27
345,Yinchuan,CN,1612024088,38.4681,106.2731,29.61,70,37,6.78
346,Port Macquarie,AU,1612023901,-31.4333,152.9167,70.0,99,30,9.24
347,Longyearbyen,SJ,1612023894,78.2186,15.6401,-2.2,50,20,19.57
348,Klaksvík,FO,1612024097,62.2266,-6.589,33.8,100,75,1.14
349,Kailua,US,1612024250,21.4022,-157.7394,73.4,73,20,13.8
350,Coquimbo,CL,1612024203,-29.9533,-71.3436,68.0,73,20,12.66
351,Maltahöhe,NA,1612024302,-24.8333,16.9833,89.65,10,7,7.25
352,Turukhansk,RU,1612024302,65.8167,87.9833,-30.96,76,0,5.08
353,Mogzon,RU,1612024290,51.7435,111.9606,-13.99,88,100,3.87
354,Vostok,RU,1612024212,46.4856,135.8833,-18.76,88,100,3.62
355,Burgersdorp,ZA,1612024302,-30.9977,26.3286,78.94,17,0,8.86
356,Strezhevoy,RU,1612024303,60.7333,77.5889,-23.8,69,0,13.42
357,Plainview,US,1612024303,40.7765,-73.4673,25.0,45,1,12.66
358,Ust'-Ordynskiy,RU,1612024303,52.805,104.7508,5.0,72,90,22.37
359,Eldoret,KE,1612024303,0.5204,35.2699,71.6,35,75,9.22
360,Forécariah,GN,1612024303,9.4306,-13.0881,92.01,33,0,8.5
361,Saint-Joseph,RE,1612023983,-21.3667,55.6167,82.4,74,0,11.5
362,Yulara,AU,1612024257,-25.2406,130.9889,87.8,35,90,13.8
363,Sabha,LY,1612024304,27.0377,14.4283,59.65,34,0,4.23
364,Caucayá,CO,1612024140,-0.1934,-74.7819,89.19,45,60,5.66
365,Tongchuanshi,CN,1612024304,35.0806,109.0897,36.39,63,91,5.08
366,Alvorada,BR,1612024305,-12.48,-49.1247,90.73,49,99,2.39
367,Laguna,US,1612024135,38.421,-121.4238,45.0,87,90,3.2
368,Batī,ET,1612024305,11.1833,40.0167,61.59,40,1,1.83
369,Gijang,KR,1612024305,35.2442,129.2139,33.8,69,0,2.3
370,Misratah,LY,1612024305,32.3754,15.0925,66.11,57,0,6.76
371,Heidenreichstein,AT,1612024306,48.8667,15.1167,28.99,92,100,3.74
372,Freeport,US,1612024306,40.6576,-73.5832,25.0,45,1,12.66
373,Deputatsky,RU,1612024101,69.3,139.9,-32.35,86,98,1.95
374,Oranjestad,AW,1612023987,12.524,-70.027,84.2,58,20,24.16
375,Fairbanks,US,1612023971,64.8378,-147.7164,-7.6,77,90,1.79
376,Thunder Bay,CA,1612024462,48.4001,-89.3168,23.0,86,90,10.36
377,Sekoma,BW,1612024307,-24.4,23.8833,79.59,60,62,2.77
378,Xai-Xai,MZ,1612024307,-25.0519,33.6442,79.02,79,0,8.95
379,Trincomalee,LK,1612024308,8.5711,81.2335,79.34,83,61,13.6
380,Kisangani,CD,1612024308,0.5167,25.2,76.46,74,100,2.08
381,Saint George,US,1612024308,37.1041,-113.5841,35.6,100,1,1.95
382,Ferme-Neuve,CA,1612024308,46.7001,-75.4493,5.0,61,58,6.91
383,Qax,AZ,1612024309,41.4225,46.9242,37.4,93,75,4.61
384,Tabou,CI,1612024083,4.423,-7.3528,81.64,80,45,9.51
385,Hunchun,CN,1612024309,42.8675,130.3581,0.34,85,0,3.51
386,Khandyga,RU,1612024519,62.6667,135.6,-51.61,76,55,0.69
387,Kangasala,FI,1612024309,61.4638,24.076,17.01,86,20,5.75
388,Shahr-e Kord,IR,1612024310,32.3256,50.8644,37.4,44,20,16.11
389,West Wendover,US,1612024290,40.7391,-114.0733,33.8,55,75,3.44
390,Akureyri,IS,1612024310,65.6835,-18.0878,21.2,68,75,9.22
391,La Cruz,MX,1612024310,23.9167,-106.9,70.0,76,0,1.01
392,Hobyo,SO,1612024310,5.3505,48.5268,76.71,74,7,15.59
393,Anadyr,RU,1612024311,64.75,177.4833,-7.6,59,0,8.95
394,Kalat,PK,1612024311,29.0225,66.5916,48.58,37,0,7.14
395,Hargeisa,SO,1612024311,9.56,44.065,63.25,70,1,11.21
396,Inuvik,CA,1612024312,68.3499,-133.7218,-29.2,75,100,1.14
397,Verkhniy Ufaley,RU,1612024312,56.0567,60.2306,21.02,98,88,1.83
398,Riyadh,SA,1612024064,24.6877,46.7219,64.4,29,0,8.05
399,Sørland,NO,1612024312,67.667,12.6934,30.92,92,11,8.52
400,Nyurba,RU,1612024245,63.2842,118.3319,-37.52,81,100,2.89
401,Nadym,RU,1612024313,65.5333,72.5167,-23.78,84,100,19.19
402,Lata,PT,1612024124,40.1629,-8.3327,59.0,81,89,5.99
403,Bakchar,RU,1612024313,57.0186,82.0711,-22.02,86,83,4.23
404,Beşikdüzü,TR,1612024313,41.052,39.2284,48.2,76,0,11.5
405,Lompoc,US,1612024282,34.6391,-120.4579,46.0,100,1,6.91
406,Iralaya,HN,1612024313,15.0,-83.2333,84.2,74,75,10.36
407,Buala,SB,1612024099,-8.145,159.5921,80.62,85,93,13.73
408,Shadrinsk,RU,1612024314,56.0852,63.6335,13.39,96,78,7.78
409,Flin Flon,CA,1612024314,54.7682,-101.865,12.2,85,90,2.3
410,Barra do Garças,BR,1612024103,-15.89,-52.2567,87.8,62,40,4.61
411,Iki-Burul,RU,1612024314,45.8208,44.6472,35.6,93,0,13.42
412,Kununurra,AU,1612024315,-15.7667,128.7333,78.8,100,100,3.44
413,Tatarsk,RU,1612024315,55.219,75.9828,1.56,94,100,10.67
414,Burgeo,CA,1612024315,47.6167,-57.6152,31.32,90,96,15.86
415,Dunedin,NZ,1612024085,-45.8742,170.5036,54.0,81,31,5.01
416,Beyşehir,TR,1612024316,37.6773,31.7246,40.53,91,99,6.04
417,Nueva Guinea,NI,1612024141,11.6876,-84.4562,76.75,80,38,14.43
418,Ilebo,CD,1612024142,-4.3167,20.5833,87.69,59,84,1.01
419,Siniscola,IT,1612024317,40.5719,9.6922,62.6,63,0,5.75
420,Yamada,JP,1612024158,39.4667,141.95,24.51,89,2,5.17
421,Nicolás R Casillas,MX,1612024095,20.5333,-103.4667,68.0,48,1,2.51
422,Wewak,PG,1612024318,-3.5534,143.6268,79.27,83,100,10.22
423,Río Gallegos,AR,1612024247,-51.6226,-69.2181,62.6,34,75,18.41
424,Bambanglipuro,ID,1612024318,-7.95,110.2833,75.54,87,100,3.31
425,Valdosta,US,1612024318,30.8327,-83.2785,57.0,58,1,8.05
426,Mikhaylovka,RU,1612024318,50.06,43.2379,35.2,95,100,14.14
427,Kunduz,AF,1612024319,36.729,68.857,48.63,49,91,2.93
428,Babīna,IN,1612024319,25.25,78.4667,51.78,43,0,1.54
429,Kudahuvadhoo,MV,1612024319,2.6708,72.8944,81.28,76,43,11.97
430,Great Yarmouth,GB,1612024319,52.6083,1.7305,39.0,81,40,18.41
431,Mahon,ES,1612024131,39.8885,4.2658,60.8,67,20,12.66
432,Bahía Honda,CU,1612024320,22.9036,-83.1592,73.2,59,9,11.36
433,Loreto,MX,1612024320,22.2667,-101.9667,68.34,34,20,8.39
434,Charcas,MX,1612024320,23.1333,-101.1167,65.73,35,33,6.42
435,Mitsamiouli,KM,1612024320,-11.3847,43.2844,82.54,76,39,8.14
436,Ciudad Bolivar,VE,1612024321,8.1222,-63.5497,89.76,47,52,9.01
437,Bom Jesus,BR,1612024321,-9.0744,-44.3586,93.54,35,35,8.43
438,Kumul,CN,1612024103,42.8,93.45,22.42,83,0,0.22
439,Humaitá,BR,1612024211,-7.5061,-63.0208,93.04,51,78,3.58
440,Suntar,RU,1612024322,62.1444,117.6319,-39.15,80,100,2.59
441,Komsomolets,KZ,1612024322,53.7453,62.0708,11.59,96,41,7.07
442,Ust-Nera,RU,1612024322,64.5667,143.2,-23.87,77,100,5.86
443,Tyukhtet,RU,1612024322,56.5389,89.3011,-28.95,84,0,2.24
444,Bathsheba,BB,1612024073,13.2167,-59.5167,84.2,65,40,19.57
445,Burē,ET,1612024245,10.7,37.0667,66.04,37,32,5.99
446,Ellensburg,US,1612024323,46.9965,-120.5479,30.2,93,90,0.85
447,Aasiaat,GL,1612024323,68.7098,-52.8699,-1.1,85,34,5.48
448,Revadanda,IN,1612024324,18.5503,72.9278,78.8,41,0,4.61
449,Vanimo,PG,1612024079,-2.6741,141.3028,78.84,84,100,7.63
450,De-Kastri,RU,1612024324,51.4667,140.7833,-1.35,89,100,10.16
451,Port Moresby,PG,1612024324,-9.4431,147.1797,75.2,94,75,11.5
452,Chegdomyn,RU,1612024324,51.1167,133.0167,-26.79,83,61,0.56
453,Kenai,US,1612024120,60.5544,-151.2583,1.4,85,1,5.41
454,Guantánamo,CU,1612024325,20.1444,-75.2092,82.4,47,20,8.05
455,Medicine Hat,CA,1612024203,50.0501,-110.6683,3.2,92,90,5.75
456,Pandan,PH,1612024325,14.0453,124.1694,75.87,81,100,18.21
457,Bindki,IN,1612024325,26.0333,80.6,52.54,44,0,4.07
458,Donskoye,RU,1612024326,45.4552,41.9741,35.6,93,40,11.18
459,Ternate,ID,1612024326,0.8,127.4,77.81,81,100,9.62
460,Atar,MR,1612024326,20.5169,-13.0499,91.4,21,26,13.8
461,Derzhavīnsk,KZ,1612024326,51.1,66.3167,19.09,94,100,9.75
462,Severo-Kuril'sk,RU,1612024095,50.6789,156.125,23.56,96,100,28.5
463,Kratovo,MK,1612024327,42.0792,22.1814,48.2,71,0,4.61
464,Vila Franca do Campo,PT,1612024119,37.7167,-25.4333,64.99,94,75,13.8
465,Karratha,AU,1612023968,-20.7377,116.8463,82.53,61,94,13.38
466,Talakan,RU,1612024327,50.3167,130.3667,-29.0,83,34,2.3
467,Acapulco de Juárez,MX,1612024006,16.8634,-99.8901,82.4,57,75,5.75
468,Sibiti,CG,1612024328,-3.6819,13.3499,69.64,97,100,5.23
469,Key Largo,US,1612024328,25.0865,-80.4473,72.0,71,40,16.82
470,Kaeo,NZ,1612024328,-35.1,173.7833,54.0,91,0,5.01
471,Taoudenni,ML,1612024030,22.6783,-3.9836,87.1,12,0,7.45
472,Kloulklubed,PW,1612023897,7.0419,134.2556,78.8,78,75,6.91
473,Abu Dhabi,AE,1612024329,24.4667,54.3667,73.4,56,0,4.61
474,Erenhot,CN,1612024223,43.6475,111.9767,15.04,90,0,11.9
475,Zhangaözen,KZ,1612024204,43.3,52.8,38.23,80,100,11.95
476,Clairmont,CA,1612024329,55.2667,-118.786,-9.4,84,20,2.19
477,Novoagansk,RU,1612024329,61.9449,76.6625,-22.32,85,100,10.87
478,Wanaka,NZ,1612024330,-44.7,169.15,48.16,69,3,4.63
479,Port Lincoln,AU,1612024273,-34.7333,135.8667,59.63,81,9,12.73
480,Amazar,RU,1612024291,53.858,120.875,-27.02,82,95,0.38
481,Maridi,SS,1612024330,4.9158,29.4742,82.06,20,4,5.97
482,Margate,GB,1612024330,51.3813,1.3862,39.99,90,100,4.0
483,Meulaboh,ID,1612024223,4.1363,96.1285,76.37,82,78,4.56
484,Wuwei,CN,1612024106,37.9281,102.6414,25.03,66,23,4.63
485,Pimenta Bueno,BR,1612024331,-11.6725,-61.1936,81.61,76,98,2.64
486,Rørvik,NO,1612024076,64.8621,11.2373,29.23,96,85,11.92
487,Salinas,US,1612024331,36.6777,-121.6555,48.2,87,90,13.8
488,Lüderitz,NA,1612024217,-26.6481,15.1594,73.74,47,0,28.3
489,Sfântu Gheorghe,RO,1612024332,45.8667,25.7833,39.0,89,76,10.63
490,Tarko-Sale,RU,1612024332,64.9225,77.785,-29.42,83,100,10.04
491,Saddiqabad,PK,1612024332,28.3062,70.1307,60.42,25,0,5.91
492,Zavyalovo,RU,1612024333,54.5053,82.4484,-14.8,70,0,6.71
493,Toamasina,MG,1612024333,-18.1667,49.3833,82.4,78,40,3.44
494,Rome,US,1612024205,43.2128,-75.4557,12.0,67,90,5.75
495,Wānkāner,IN,1612024333,22.6167,70.9333,66.2,42,0,4.61
496,Paraíso,CR,1612024333,9.8383,-83.8656,75.2,64,20,23.02
497,Jining,CN,1612024334,35.405,116.5814,41.67,61,86,7.25
498,Alikalia,SL,1612024334,9.1667,-11.4,96.58,10,0,2.93
499,Silver City,US,1612024058,32.7701,-108.2803,32.0,86,1,13.8
500,High Level,CA,1612024334,58.5169,-117.136,-22.0,76,20,3.44
501,Nizwá,OM,1612024139,22.9333,57.5333,62.92,39,0,0.76
502,Ayagoz,KZ,1612024226,47.9714,80.4392,16.29,86,16,13.33
503,Kulhudhuffushi,MV,1612024335,6.6221,73.07,81.99,67,95,8.28
504,Gubkinskiy,RU,1612024335,64.434,76.5026,-26.77,83,100,13.49
505,Contamana,PE,1612024335,-7.3333,-75.0167,75.43,95,96,2.51
506,Kapit,MY,1612024335,2.0167,112.9333,74.34,95,100,0.92
507,Dingle,PH,1612024097,10.9995,122.6711,72.1,89,100,10.65
508,Tsimmerbude,RU,1612024091,54.675,20.1347,32.0,69,90,15.66
509,Bowmore,US,1612024226,34.9421,-79.3031,42.01,41,1,4.61
510,Luorong,CN,1612024336,24.4058,109.6086,57.88,58,77,3.58
511,Usinsk,RU,1612024337,65.9939,57.5281,-0.89,93,100,9.86
512,Sergeevka,KZ,1612024337,53.88,67.4158,17.71,94,100,6.62
513,Cururupu,BR,1612024104,-1.8283,-44.8683,86.81,63,51,8.86
514,Non Sang,TH,1612024337,16.8687,102.5664,73.4,60,49,5.75
515,Shira,RU,1612024337,54.4911,89.9531,-23.62,86,100,1.45
516,Gorlice,PL,1612024337,49.6556,21.1604,28.99,83,92,10.27
517,Anloga,GH,1612024338,5.7947,0.8973,87.8,70,20,10.36
518,Nigrán,ES,1612024338,42.1415,-8.8066,55.99,82,75,10.36
519,Yar-Sale,RU,1612024338,66.8333,70.8333,-25.02,86,100,15.86
520,Guaymas,MX,1612024338,27.9333,-110.9,61.0,72,0,4.0
521,Honiara,SB,1612024338,-9.4333,159.95,78.96,81,99,5.46
522,Albury,AU,1612024202,-36.0833,146.9167,63.0,94,0,4.61
523,Jilib,SO,1612024221,0.4883,42.7854,74.48,73,9,8.19
524,Gao,ML,1612024339,16.6362,1.637,84.16,12,1,7.65
525,Koshurnikovo,RU,1612024339,54.1667,93.3,-25.4,85,17,1.61
